,Ticker,Representative,Transaction,Amount,House,State,Party,Range,Date,OpenPrice,previous_seven_days,OpenPricePrevSevenDays,next_seven_days,OpenPriceNextSevenDays,previous_thirty_days,OpenPricePreviousThirtyDays,next_thirty_days,OpenPriceNextThirtyDays,previous_7_day_percent_change,next_7_day_percent_change,previous_30_day_percent_change,Next_12_days_present_percent_change,OpenPrice_spy,previous_seven_days_spy,OpenPricePrevSevenDays_spy,next_seven_days_spy,OpenPriceNextSevenDays_spy,previous_thirty_days_spy,OpenPricePrevThirtyDays_spy,next_thirty_days_spy,OpenPriceNextThirtyDays_spy,prev_7_days_spy_percent_change,next_7_days_spy_percent_change,prev_30_days_spy_percent_change,next_30_days_spy_percent_change
788,ENVA,Bill Hagerty,Sale,15001,Senate,Tennessee,Republican,"$15,001 - $50,000",12/29/21,41.1,12/22/21,39.59,1/5/22,41.82,11/29/21,39.53,1/10/22,41.42,0.038140945,0.017518248,0.039716671,0.007785888,476.98,12/21/21,458.61,1/4/22,479.22,11/30/21,462,1/10/22,462.7,0.040055821,0.004696214,0.032424242,-0.029938362
789,BKEP,Bill Hagerty,Sale,15001,Senate,Tennessee,Republican,"$15,001 - $50,000",12/29/21,3.35,12/22/21,3.27,1/5/22,3.27,11/29/21,3.33,1/10/22,3.32,0.024464832,-0.023880597,0.006006006,-0.008955224,476.98,12/21/21,458.61,1/4/22,479.22,11/30/21,462,1/10/22,462.7,0.040055821,0.004696214,0.032424242,-0.029938362
790,CLDT,Bill Hagerty,Sale,1001,Senate,Tennessee,Republican,"$1,001 - $15,000",12/29/21,13.54,12/22/21,13.39,1/5/22,13.78,11/29/21,12.15,1/10/22,13.61,0.01120239,0.017725258,0.114403292,0.005169867,476.98,12/21/21,458.61,1/4/22,479.22,11/30/21,462,1/10/22,462.7,0.040055821,0.004696214,0.032424242,-0.029938362
791,RNR,Bill Hagerty,Sale,250001,Senate,Tennessee,Republican,"$250,001 - $500,000",12/28/21,168.82,12/21/21,165.92,1/4/22,168.36,11/28/21,157.43,1/9/22,167.65,0.017478303,-0.002724796,0.072349616,-0.006930458,477.72,12/20/21,454.48,1/3/22,476.3,11/29/21,464.07,1/7/22,467.95,0.051135363,-0.002972452,0.029413666,-0.02045131
792,DDOG,Bill Hagerty,Sale,15001,Senate,Tennessee,Republican,"$15,001 - $50,000",12/28/21,185.7,12/21/21,166.99,1/4/22,163.44,11/28/21,183.8,1/9/22,139.78,0.112042637,-0.119870759,0.010337323,-0.24728056,477.72,12/20/21,454.48,1/3/22,476.3,11/29/21,464.07,1/7/22,467.95,0.051135363,-0.002972452,0.029413666,-0.02045131
793,RNR,Bill Hagerty,Sale,250001,Senate,Tennessee,Republican,"$250,001 - $500,000",12/23/21,166.97,12/16/21,168.38,12/30/21,173.41,11/23/21,166.2,1/4/22,168.36,-0.008373916,0.038569803,0.004632972,0.008324849,468.75,12/16/21,472.57,12/30/21,477.93,11/24/21,466.06,1/5/22,477.16,-0.008083459,0.019584,0.005771789,0.017941333
794,RHP,Bill Hagerty,Sale,100001,Senate,Tennessee,Republican,"$100,001 - $250,000",12/23/21,89.37,12/16/21,80.12,12/30/21,91.9,11/23/21,88.13,1/4/22,93.77,0.115451822,0.028309276,0.014070124,0.049233524,468.75,12/16/21,472.57,12/30/21,477.93,11/24/21,466.06,1/5/22,477.16,-0.008083459,0.019584,0.005771789,0.017941333
795,CCEP,Bill Hagerty,Sale,50001,Senate,Tennessee,Republican,"$50,001 - $100,000",12/29/21,55.69,12/22/21,53.35,1/5/22,56.29,11/29/21,50.91,1/10/22,57.77,0.043861293,0.010773927,0.093891181,0.037349614,476.98,12/21/21,458.61,1/4/22,479.22,11/30/21,462,1/10/22,462.7,0.040055821,0.004696214,0.032424242,-0.029938362
796,HBAN,Gary Peters,Purchase,1001,Senate,Michigan,Democratic,"$1,001 - $15,000",12/7/21,15.31,11/30/21,15.15,12/14/21,14.96,11/7/21,15.63,12/19/21,17.35,0.010561056,-0.022860875,-0.020473448,0.133246244,464.41,11/30/21,462,12/13/21,470.19,11/8/21,469.7,12/17/21,461.55,0.00521645,0.012445899,-0.011262508,-0.006158351
797,IBM,Gary Peters,Purchase,1001,Senate,Michigan,Democratic,"$1,001 - $15,000",1/3/22,134.07,12/27/21,130.63,1/10/22,134.47,12/4/21,118.62,1/15/22,134.47,0.02633392,0.002983516,0.13024785,0.002983516,476.3,12/27/21,472.06,1/7/22,467.95,12/3/21,459.17,1/13/22,472.19,0.008981909,-0.017530968,0.037306444,-0.008629015
798,CEM,Thomas R. Carper,Sale,1001,Senate,Michigan,Democratic,"$1,001 - $15,000",12/23/21,25.81,12/16/21,25.86,12/30/21,26.5,11/23/21,28.36,1/4/22,28,-0.001933488,0.026733824,-0.089915374,0.084850833,468.75,12/16/21,472.57,12/30/21,477.93,11/24/21,466.06,1/5/22,477.16,-0.008083459,0.019584,0.005771789,0.017941333
799,SBIO,Thomas R. Carper,Sale,1001,Senate,Michigan,Democratic,"$1,001 - $15,000",12/31/21,42.65,12/24/21,42.27,1/7/22,39.86,12/1/21,43.16,1/12/22,38.84,0.008989827,-0.065416178,-0.011816497,-0.08933177,475.64,12/23/21,468.75,1/6/22,467.89,12/2/21,450.73,1/12/22,471.59,0.014698667,-0.016293836,0.055265902,-0.008514843
800,VRM,Bill Hagerty,Sale,1001,Senate,Tennessee,Republican,"$1,001 - $15,000",12/16/21,11.11,12/9/21,13.5,12/23/21,10.94,11/16/21,19.83,12/28/21,10.62,-0.177037037,-0.01530153,-0.439737771,-0.04410441,472.57,12/9/21,468.15,12/22/21,462.79,11/17/21,469,12/29/21,476.98,0.009441418,-0.020695347,0.00761194,0.009331951
