,Ticker,Representative,Transaction,Amount,House,State,Party,Range,Date,OpenPrice,previous_seven_days,OpenPricePrevSevenDays,next_seven_days,OpenPriceNextSevenDays,previous_thirty_days,OpenPricePreviousThirtyDays,next_thirty_days,OpenPriceNextThirtyDays,previous_7_day_percent_change,next_7_day_percent_change,previous_30_day_percent_change,Next_12_days_present_percent_change,OpenPrice_spy,previous_seven_days_spy,OpenPricePrevSevenDays_spy,next_seven_days_spy,OpenPriceNextSevenDays_spy,previous_thirty_days_spy,OpenPricePrevThirtyDays_spy,next_thirty_days_spy,OpenPriceNextThirtyDays_spy,prev_7_days_spy_percent_change,next_7_days_spy_percent_change,prev_30_days_spy_percent_change,next_30_days_spy_percent_change
748,CSCO,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,60.44,12/14/21,58.34,12/28/21,63.42,11/21/21,62.41,1/2/22,55.33,0.035995886,0.049305096,-0.031565454,-0.084546658,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
749,KMB,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,141.17,12/14/21,139.47,12/28/21,139.93,11/21/21,139.44,1/2/22,133.54,0.012189001,-0.008783736,0.01240677,-0.054048311,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
750,CI,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,216,12/14/21,213.38,12/28/21,227.78,11/21/21,227.59,1/2/22,218.16,0.012278564,0.054537037,-0.050924909,0.01,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
751,BK,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,57.16,12/14/21,56.18,12/28/21,58.39,11/21/21,58.2,1/2/22,61.96,0.01744393,0.021518544,-0.017869416,0.083974808,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
752,CI,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,216,12/14/21,213.38,12/28/21,227.78,11/21/21,227.59,1/2/22,218.16,0.012278564,0.054537037,-0.050924909,0.01,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
753,CVS,Jerry Moran,Sale,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,100.79,12/14/21,99.47,12/28/21,102.5,11/21/21,101.76,1/2/22,108.99,0.013270333,0.016965969,-0.009532233,0.081357278,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
754,PII,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,103.47,12/14/21,106.52,12/28/21,107.59,11/21/21,106,1/2/22,115.34,-0.028633121,0.039818305,-0.023867925,0.114719242,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
755,BAC,Jerry Moran,Sale,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,43.54,12/14/21,43.59,12/28/21,44.47,11/21/21,44.55,1/2/22,48.56,-0.001147052,0.021359669,-0.022671156,0.115296279,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
756,PFE,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,60.01,12/14/21,54.77,12/28/21,59.05,11/21/21,58.85,1/2/22,53.3,0.095672814,-0.015997334,0.01971113,-0.111814698,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
757,CMCSA,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,48.63,12/14/21,46.29,12/28/21,50.47,11/21/21,50.02,1/2/22,49.45,0.050550875,0.037836726,-0.027788884,0.016862019,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
758,BAC,Jerry Moran,Sale,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,43.54,12/14/21,43.59,12/28/21,44.47,11/21/21,44.55,1/2/22,48.56,-0.001147052,0.021359669,-0.022671156,0.115296279,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
759,PFE,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,60.01,12/14/21,54.77,12/28/21,59.05,11/21/21,58.85,1/2/22,53.3,0.095672814,-0.015997334,0.01971113,-0.111814698,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
760,PII,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,103.47,12/14/21,106.52,12/28/21,107.59,11/21/21,106,1/2/22,115.34,-0.028633121,0.039818305,-0.023867925,0.114719242,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
761,NVS,Shelley Moore Capito,Sale,1001,Senate,West Virginia,Republican,"$1,001 - $15,000",12/15/21,80.82,12/8/21,81.51,12/22/21,85.52,11/15/21,82.64,12/27/21,87.19,-0.008465219,0.058153922,-0.022023233,0.078817124,463.42,12/8/21,468.7,12/21/21,458.61,11/16/21,467.15,12/28/21,477.72,-0.011265202,-0.010379354,-0.007984587,0.030857537
762,BK,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,57.16,12/14/21,56.18,12/28/21,58.39,11/21/21,60.29,1/2/22,58.2,0.01744393,0.021518544,-0.051915741,0.018194542,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
763,MSFT,Jerry Moran,Sale,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,323.29,12/14/21,333.22,12/28/21,343.15,11/21/21,337.54,1/2/22,335.46,-0.029800132,0.061430913,-0.042217219,0.03764422,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
764,USB,Jerry Moran,Sale,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,55.5,12/14/21,56.93,12/28/21,56.43,11/21/21,60.76,1/2/22,56.33,-0.025118567,0.016756757,-0.086570112,0.014954955,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
765,FB,Jerry Moran,Sale,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,326.41,12/14/21,328.05,12/28/21,346.63,11/21/21,344.34,1/2/22,338.85,-0.004999238,0.061946632,-0.052070628,0.038111577,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
766,KR,Jerry Moran,Sale,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,45.23,12/14/21,45.64,12/28/21,43.79,11/21/21,42.43,1/2/22,43.31,-0.008983348,-0.031837276,0.065991044,-0.042449702,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
767,VZ,Shelley Moore Capito,Sale,1001,Senate,West Virginia,Republican,"$1,001 - $15,000",12/28/21,52.63,12/21/21,53.26,1/4/22,52.64,11/28/21,52.44,1/9/22,52.69,-0.011828765,0.000190006,0.003623188,0.001140034,477.72,12/20/21,454.48,1/3/22,476.3,11/29/21,464.07,1/7/22,467.95,0.051135363,-0.002972452,0.029413666,-0.02045131
