,Ticker,Representative,Transaction,Amount,House,Range,Date,OpenPrice,previous_seven_days,OpenPricePrevSevenDays,next_seven_days,OpenPriceNextSevenDays,next_day,OpenPriceNextDay,next_2_day,OpenPriceNextDay2,next_3_day,OpenPriceNextDay3,next_4_day,OpenPriceNextDay4,next_5_day,OpenPriceNextDay5,next_6_day,OpenPriceNextDay6,next_7_day,OpenPriceNextDay7,next_seven_days_spy,OpenPriceNextSevenDays_spy,Stock_purchase_to_day1_perent_change,Stock_day1_to_day2_perent_change,Stock_day2_to_day3_perent_change,Stock_day3_to_day4_perent_change,Stock_day4_to_day5_perent_change,Stock_day5_to_day6_perent_change,Stock_day6_to_day7_perent_change,SPY_change_purchase_to_7_day
745,VZ,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,53.26,12/14/21,50.37,12/28/21,52.63,12/22/21,52.58,12/23/21,52.85,12/24/21,53.73,12/25/21,53.52,12/26/21,52.52,12/27/21,52.69,12/28/21,52.63,12/28/21,477.72,-0.012767555,0.005135032,0.016650899,-0.003908431,-0.018684604,0.003236862,-0.001138736,0.037133948
746,XOM,Jerry Moran,Sale,1001,Senate,"$1,001 - $15,000",12/21/21,59.75,12/14/21,61.26,12/28/21,61.91,12/22/21,60.34,12/23/21,61.17,12/24/21,73.18,12/25/21,80.87,12/26/21,74.97,12/27/21,60.93,12/28/21,61.91,12/28/21,477.72,0.009874477,0.013755386,0.196338074,0.105083356,-0.072956597,-0.18727491,0.016084031,0.037133948
747,KMB,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,141.17,12/14/21,139.47,12/28/21,139.93,12/22/21,139.76,12/23/21,139.22,12/24/21,143.11,12/25/21,135.64,12/26/21,137.82,12/27/21,139.44,12/28/21,139.93,12/28/21,477.72,-0.009987958,-0.003863766,0.027941388,-0.05219761,0.016071955,0.011754462,0.003514056,0.037133948
748,CSCO,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,60.44,12/14/21,58.34,12/28/21,63.42,12/22/21,60.97,12/23/21,61.79,12/24/21,58.07,12/25/21,54.89,12/26/21,55.43,12/27/21,62.41,12/28/21,63.42,12/28/21,477.72,0.008769027,0.013449237,-0.060203916,-0.054761495,0.009837858,0.12592459,0.016183304,0.037133948
749,KMB,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,141.17,12/14/21,139.47,12/28/21,139.93,12/22/21,139.76,12/23/21,139.22,12/24/21,143.11,12/25/21,135.64,12/26/21,137.82,12/27/21,139.44,12/28/21,139.93,12/28/21,477.72,-0.009987958,-0.003863766,0.027941388,-0.05219761,0.016071955,0.011754462,0.003514056,0.037133948
750,CI,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,216,12/14/21,213.38,12/28/21,227.78,12/22/21,220,12/23/21,223.45,12/24/21,240.61,12/25/21,213.34,12/26/21,230.73,12/27/21,227.59,12/28/21,227.78,12/28/21,477.72,0.018518519,0.015681818,0.076795704,-0.113336935,0.081513078,-0.01360898,0.000834835,0.037133948
751,BK,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,57.16,12/14/21,56.18,12/28/21,58.39,12/22/21,57.85,12/23/21,58.18,12/24/21,59.68,12/25/21,60.87,12/26/21,58.07,12/27/21,58.2,12/28/21,58.39,12/28/21,477.72,0.012071379,0.005704408,0.025782056,0.019939678,-0.045999671,0.002238677,0.003264605,0.037133948
752,CI,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,216,12/14/21,213.38,12/28/21,227.78,12/22/21,220,12/23/21,223.45,12/24/21,240.61,12/25/21,213.34,12/26/21,230.73,12/27/21,227.59,12/28/21,227.78,12/28/21,477.72,0.018518519,0.015681818,0.076795704,-0.113336935,0.081513078,-0.01360898,0.000834835,0.037133948
753,CVS,Jerry Moran,Sale,1001,Senate,"$1,001 - $15,000",12/21/21,100.79,12/14/21,99.47,12/28/21,102.5,12/22/21,100.76,12/23/21,101.07,12/24/21,102.93,12/25/21,107.58,12/26/21,108.22,12/27/21,101.76,12/28/21,102.5,12/28/21,477.72,-0.000297649,0.003076618,0.018403087,0.045176333,0.005949061,-0.059693218,0.007272013,0.037133948
754,PII,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,103.47,12/14/21,106.52,12/28/21,107.59,12/22/21,104.61,12/23/21,105.73,12/24/21,105.72,12/25/21,113.95,12/26/21,111.79,12/27/21,106,12/28/21,107.59,12/28/21,477.72,0.011017686,0.010706433,-9.46E-05,0.077847143,-0.018955682,-0.051793541,0.015,0.037133948
755,BAC,Jerry Moran,Sale,1001,Senate,"$1,001 - $15,000",12/21/21,43.54,12/14/21,43.59,12/28/21,44.47,12/22/21,44.08,12/23/21,44.68,12/24/21,45.57,12/25/21,47.08,12/26/21,45.52,12/27/21,44.55,12/28/21,44.47,12/28/21,477.72,0.012402389,0.013611615,0.019919427,0.033135835,-0.033135089,-0.021309315,-0.001795735,0.037133948
756,PFE,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,60.01,12/14/21,54.77,12/28/21,59.05,12/22/21,59.25,12/23/21,59.82,12/24/21,54.42,12/25/21,53.02,12/26/21,54,12/27/21,58.85,12/28/21,59.05,12/28/21,477.72,-0.012664556,0.009620253,-0.090270812,-0.025725836,0.018483591,0.089814815,0.003398471,0.037133948
757,CMCSA,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,48.63,12/14/21,46.29,12/28/21,50.47,12/22/21,48.78,12/23/21,49.37,12/24/21,50.38,12/25/21,49.16,12/26/21,49.29,12/27/21,50.02,12/28/21,50.47,12/28/21,477.72,0.003084516,0.012095121,0.020457768,-0.024215959,0.002644426,0.014810306,0.008996401,0.037133948
758,BAC,Jerry Moran,Sale,1001,Senate,"$1,001 - $15,000",12/21/21,43.54,12/14/21,43.59,12/28/21,44.47,12/22/21,44.08,12/23/21,44.68,12/24/21,45.57,12/25/21,47.08,12/26/21,45.52,12/27/21,44.55,12/28/21,44.47,12/28/21,477.72,0.012402389,0.013611615,0.019919427,0.033135835,-0.033135089,-0.021309315,-0.001795735,0.037133948
759,PFE,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,60.01,12/14/21,54.77,12/28/21,59.05,12/22/21,59.25,12/23/21,59.82,12/24/21,54.42,12/25/21,53.02,12/26/21,54,12/27/21,58.85,12/28/21,59.05,12/28/21,477.72,-0.012664556,0.009620253,-0.090270812,-0.025725836,0.018483591,0.089814815,0.003398471,0.037133948
760,PII,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,103.47,12/14/21,106.52,12/28/21,107.59,12/22/21,104.61,12/23/21,105.73,12/24/21,105.72,12/25/21,113.95,12/26/21,111.79,12/27/21,106,12/28/21,107.59,12/28/21,477.72,0.011017686,0.010706433,-9.46E-05,0.077847143,-0.018955682,-0.051793541,0.015,0.037133948
761,NVS,Shelley Moore Capito,Sale,1001,Senate,"$1,001 - $15,000",12/15/21,80.82,12/8/21,81.51,12/22/21,85.52,12/16/21,85.55,12/17/21,86.3,12/18/21,87.82,12/19/21,86.22,12/20/21,85.48,12/21/21,85.83,12/22/21,85.52,12/21/21,458.61,0.058525118,0.008766803,0.017612978,-0.018219084,-0.008582695,0.004094525,-0.003611791,0.018643995
